region;municipality;county;coast;hh_category;land_area;holiday_homes;future_hh_area;holiday_homes_1970;hh_dwelling_ratio;median_hh_price;prop_hh_area;prop_wetlands;prop_montainous;altitudinal_range;dist_to_coast;veg_sections;veg_zones;prop_protected;grazing_livestock;infrastructure_index;population;population_change;median_age;urban_settlement_ratio;prop_farm_residents;pop_2hr_drive;pop_4hr_drive;median_income;education;employment_rate;prop_private_sector;municipal_economy;unrestricted_revenues;off_road_motor;ski_lifts;hiker_cabins;activity_data;activity_pr_person;culture_index
301;Oslo;Oslo;1;1;426.4;NA;NA;1532;NA;2033333;0.0025;0.009;0.0011;610;9174.632813;0.149597451;2.770713568;0.097021576;0;6.619172096;699827;36.65795017;35;1;0.1;NA;NA;488300;22.6;0.702;0.7502;NA;78392;0;20;8;3072485.728;4.39035037;308.407197
1101;Eigersund;Rogaland;1;1;387.45;1220;3.066324;475;0.173221639;2167500;0.0028;0.0312;0.0106;811;3960.538574;-1.091583729;1.540160418;0.005084527;23478;2.945462942;14860;11.46146899;40;0.83;6.5;365634.0405;694526.0046;441400;5.4;0.672;0.7063;4.1;63002;3;0;0;36462.71969;2.453749643;144.4404543
1103;Stavanger;Rogaland;1;1;256.53;1468;2.584782;1021;0.021939264;2250000;0.0071;0.0218;0.0045;504;259.2979736;-1.089235187;2.474897861;0.015085955;9567;7.42753315;144699;25.07099674;38;0.96;1.7;236503.3265;383679.9117;476500;17.4;0.681;0.7798;4.3;63469;0;0;1;472698.0305;3.266767776;278.4451703
1106;Haugesund;Rogaland;1;1;68.38;214;0.064764;140;0.011108227;1500000;0.0029;0.0454;0.0102;236;410.3744812;-0.735117972;1.555086017;0.009504313;2100;6.922868252;37444;23.03866675;40;0.98;0.6;288420.0213;708032.1686;440200;9.1;0.655666667;0.6895;2.1;61139;0;0;0;80454.41879;2.148659833;239.2773483
1108;Sandnes;Rogaland;1;1;943.58;2689;2.498204;1917;0.078958187;1700000;0.0027;0.0095;0.061;1299;4806.660156;-2.641726494;1.885940552;0.24310089;22372;2.427614689;81305;47.24711197;36;0.94;3.5;277701.0036;502653.1133;466700;11.2;0.694;0.6742;2.7;60487;22;0;15;296623.4646;3.648280728;127.3924829
1111;Sokndal;Rogaland;1;1;267.15;299;4.38701;150;0.152862986;1650000;0.0009;0.0339;0.0132;611;2002.556152;-0.919552028;1.231116533;0.007261294;6555;2.597219467;3281;-2.322811197;42;0.65;11.7;371168.9707;678609.7826;431600;3.3;0.676666667;0.7006;4.2;73749;NA;0;1;2737.809405;0.834443586;175.7526492
1112;Lund;Rogaland;0;2;353.9;518;3.283735;202;0.323345818;1150000;0.0012;0.0164;0.0109;678;18961.31445;-2.746833563;2.701966286;0.033597061;11672;2.016849756;3178;3.42377261;41;0.61;17.5;367307.3185;679566.963;410400;2.8;0.672;0.7461;2.8;70060;13;0;0;5217.963705;1.641901732;111.9947578
1114;Bjerkreim;Rogaland;0;2;577.32;816;3.804787;157;0.643026005;1500000;0.001;0.0246;0.0109;874;16229.66699;-2.991507292;2.553732872;0.000675547;28539;1.587016821;2789;13.4771987;38;0.36;31.8;357244.6112;691766.8245;452000;5;0.753666667;0.7547;5.5;69023;9;4;1;8017.79137;2.874790738;85.93782841
1119;Hå;Rogaland;1;1;247.83;542;0.175226;158;0.067690771;2100000;0.0017;0.0503;0.006;392;1038.786865;-0.419161528;1.051032662;0.082028728;16812;5.020346165;19296;36.41979743;36;0.8;14.2;346885.8485;670435.5841;445700;4.5;0.717;0.6973;6.2;61030;2;0;0;39839.66169;2.064659084;117.2534972
1120;Klepp;Rogaland;1;1;102.36;173;0.019369;96;0.021250461;2490000;0.0011;0.0048;0.0061;94;810.6193848;-0.229432508;1.023941398;0.144880813;2835;8.214957237;20163;42.05526144;36;0.83;11;343304.3715;623689.4626;461300;6.5;0.729333333;0.7778;5;59727;0;0;0;56206.96189;2.787628919;73.49812744
1121;Time;Rogaland;0;2;170.87;55;NA;70;0.0066074;NA;0.0002;0.0511;0.0012;410;11439.22852;-1.981817245;3.839640379;0.043307778;16244;4.694168568;19353;42.0440039;36;0.88;7.3;NA;NA;472100;7.8;0.728333333;0.7188;1.8;61208;0;0;0;73706.75228;3.808544013;173.6741066
1122;Gjesdal;Rogaland;1;1;558.24;854;1.570203;373;0.172839506;960000;0.0011;0.0136;0.0312;1137;9414.614258;-3.22375226;2.107614279;0.283654277;17797;1.560621262;12131;34.68746493;35;0.89;6.7;345557.0889;684116.9929;458900;5.5;0.726666667;0.7102;1.6;62469;6;1;1;45953.69561;3.78812098;60.33268858
1124;Sola;Rogaland;1;1;68.82;274;0.002004;260;0.023243977;4675000;0.0043;0.0052;0.011;93;158.947998;-0.274182051;1.090788603;0.085440279;2337;9.081311226;27568;43.55273592;36;0.9;5.9;408510.5832;643244.6576;506200;13.9;0.712333333;0.8963;4.1;64076;0;0;0;68449.49566;2.482932953;69.46794397
