region,municipality,county,hh_1970,hh_1977,hh_2006,hh_2007,hh_2008,hh_2009,hh_2010,hh_2011,hh_2012,hh_2013,hh_2014,hh_2015,hh_2016,hh_2017,hh_2018,hh_2019,hh_20hh_20,hh_2021,hh_2022,hh_2023
301,Oslo,Oslo,1532,1532,2300,2303,2312,2309,2293,2298,2293,2286,2282,2281,2276,2276,2225,2227,2222,2215,2209,2207
1101,Eigersund,Rogaland,475,628,1050,1055,1113,1130,1155,1168,1183,1192,1203,1206,1205,1212,1218,1221,1222,1211,1220,1222
1103,Stavanger,Rogaland,1021,1193,1419,1439,1479,1503,1543,1560,1620,1598,1606,1417,1421,1414,1420,1431,1497,1476,1468,1469
1106,Haugesund,Rogaland,140,140,214,213,213,212,213,214,214,212,212,212,210,215,215,214,215,215,214,213
1108,Sandnes,Rogaland,1917,2025,2949,2934,2936,2938,2938,2949,2988,3014,3020,3019,3005,2974,2973,2973,2693,2683,2689,2692
1111,Sokndal,Rogaland,150,179,254,269,275,284,291,294,296,296,288,286,288,291,293,292,297,298,299,297
1112,Lund,Rogaland,202,250,426,435,450,455,465,472,478,483,492,493,489,487,496,504,507,507,518,522
1114,Bjerkreim,Rogaland,157,366,657,691,722,732,736,728,726,736,749,766,777,781,789,800,808,811,816,857
1119,Hå,Rogaland,158,215,391,392,391,404,425,441,448,455,461,480,497,506,516,521,523,526,542,565
1120,Klepp,Rogaland,96,108,138,138,137,138,138,137,138,134,141,144,144,146,150,152,154,154,173,176
1121,Time,Rogaland,70,71,59,59,61,60,60,60,59,59,61,58,54,55,54,55,55,55,55,54
1122,Gjesdal,Rogaland,373,465,862,855,853,857,871,877,865,873,875,875,873,847,850,856,858,855,854,855
1124,Sola,Rogaland,260,260,291,286,284,284,282,282,284,278,274,274,276,273,273,271,270,271,274,280
1127,Randaberg,Rogaland,147,147,130,135,133,130,130,129,129,128,127,127,127,129,129,128,128,127,128,128
1130,Strand,Rogaland,587,743,1324,1343,1303,1339,1369,1370,1377,1377,1381,1389,1398,1406,1412,1410,1690,1687,1705,1715
1133,Hjelmeland,Rogaland,365,464,993,1009,1026,950,971,1004,1007,1024,1040,1067,1084,1095,1096,1110,1047,1063,1088,1105
1134,Suldal,Rogaland,505,611,1622,1636,1668,1715,1727,1771,1836,1847,1853,1860,1873,1870,1891,1899,1896,1880,1913,1918
1135,Sauda,Rogaland,516,587,950,969,981,1018,1046,1093,1123,1139,1173,1182,1194,1206,1226,1244,1257,1261,1285,1292
1144,Kvitsøy,Rogaland,12,63,69,69,70,70,70,71,72,68,70,71,73,76,78,78,78,79,79,78
1145,Bokn,Rogaland,28,46,159,167,177,181,185,186,188,188,187,188,192,196,199,202,203,204,208,210
1146,Tysvær,Rogaland,930,1087,1298,1305,1318,1327,1333,1353,1358,1366,1366,1368,1377,1371,1369,1371,1371,1371,1369,1357
1149,Karmøy,Rogaland,558,566,788,808,803,799,814,812,812,799,808,809,812,812,809,820,831,839,845,855
1151,Utsira,Rogaland,7,12,69,68,68,67,67,67,67,67,67,67,67,68,69,69,35,8,8,8
1160,Vindafjord,Rogaland,658,765,1092,1108,1127,1152,1160,1099,1113,1117,1134,1138,1139,1150,1144,1152,1150,1153,1159,1156
1505,Kristiansund,Møre og Romsdal,514,514,554,525,534,540,542,542,546,546,544,542,543,541,539,538,516,515,518,523
1506,Molde,Møre og Romsdal,862,1013,1332,1341,1391,1392,1405,1420,1439,1454,1484,1498,1514,1525,1539,1547,1553,1531,1543,1549
1507,Ålesund,Møre og Romsdal,1114,1246,1550,1552,1559,1562,1560,1567,1579,1581,1540,1528,1546,1563,1577,1584,1562,1549,1540,1537
1511,Vanylven,Møre og Romsdal,144,195,337,338,344,356,360,367,375,379,382,384,388,395,396,394,396,408,419,419
1514,Sande,Møre og Romsdal,93,117,101,114,128,140,143,151,153,157,158,161,161,165,166,167,170,179,184,179
1515,Herøy (Møre og Romsdal),Møre og Romsdal,38,56,85,86,116,115,121,119,121,120,125,130,131,134,138,139,139,143,154,156
1516,Ulstein,Møre og Romsdal,104,281,212,212,212,213,217,218,219,219,219,216,219,219,224,230,232,233,233,236
1517,Hareid,Møre og Romsdal,75,97,116,117,117,115,117,118,119,119,119,118,118,118,118,120,120,119,119,120
1520,Ørsta,Møre og Romsdal,375,463,734,714,724,745,751,759,764,772,767,762,766,770,795,800,754,763,776,783
1525,Stranda,Møre og Romsdal,316,460,567,593,616,626,655,667,685,713,742,768,787,819,829,848,876,887,902,911
1528,Sykkylven,Møre og Romsdal,241,355,518,519,533,534,550,563,571,573,579,589,604,614,634,651,663,682,699,712
1531,Sula,Møre og Romsdal,331,339,89,89,90,90,90,91,90,91,91,91,92,90,90,89,86,124,128,127
1532,Giske,Møre og Romsdal,14,20,31,31,31,33,36,41,39,38,37,32,32,32,32,32,32,33,32,32
1535,Vestnes,Møre og Romsdal,267,327,580,582,583,587,594,606,638,652,652,655,658,661,663,665,665,736,737,738
1539,Rauma,Møre og Romsdal,518,636,1228,1211,1217,1233,1221,1225,1214,1209,1213,1225,1233,1235,1232,1233,1235,1137,1134,1149
1547,Aukra,Møre og Romsdal,25,30,36,36,41,41,43,45,45,44,45,46,46,46,47,47,55,55,56,56
1554,Averøy,Møre og Romsdal,181,239,299,296,300,306,328,327,335,351,362,362,364,370,375,377,377,382,388,390
1557,Gjemnes,Møre og Romsdal,286,406,624,632,639,645,650,653,652,658,662,663,661,668,668,670,669,670,667,671
1560,Tingvoll,Møre og Romsdal,513,631,837,847,866,892,911,971,1002,1005,1019,1061,1051,1057,1057,1050,1054,1035,1036,1044
1563,Sunndal,Møre og Romsdal,473,640,727,733,754,768,776,784,805,815,828,834,844,855,862,870,875,874,880,892
1566,Surnadal,Møre og Romsdal,477,711,1192,1222,1223,1246,1264,1260,1290,1305,1307,1318,1341,1347,1353,1360,1365,1373,1382,1396
1573,Smøla,Møre og Romsdal,43,59,252,256,283,296,298,312,320,321,323,329,328,337,334,335,341,342,349,353
1576,Aure,Møre og Romsdal,296,435,1144,1164,1182,1251,1274,1333,1344,1349,1361,1363,1341,1338,1347,1361,1361,1358,1379,1395
1577,Volda,Møre og Romsdal,321,420,605,602,606,616,619,622,622,629,644,662,691,705,711,710,758,786,809,821
1578,Fjord,Møre og Romsdal,232,286,703,738,758,772,772,778,788,845,862,894,915,929,944,953,972,982,998,1004
1579,Hustadvika,Møre og Romsdal,289,346,737,745,754,766,764,770,776,776,774,772,777,779,787,794,796,796,801,804
1804,Bodø,Nordland - Nordlánnda,1082,1200,1986,2013,2158,2207,2282,2450,2493,2521,2538,2560,2575,2645,2647,2664,2674,2680,2699,2706
1806,Narvik,Nordland - Nordlánnda,1684,976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3680,3680,3615,3566
1811,Bindal,Nordland - Nordlánnda,74,112,239,239,240,243,243,252,256,270,276,279,281,282,297,302,307,309,311,311
1812,Sømna,Nordland - Nordlánnda,92,123.5,122,122,125,132,133,140,140,143,148,151,151,151,156,159,160,161,162,160
1813,Brønnøy,Nordland - Nordlánnda,92,123.5,473,471,481,493,521,592,593,596,607,611,613,621,631,638,643,651,661,660
1815,Vega,Nordland - Nordlánnda,30,41,221,222,222,223,224,277,304,307,309,311,316,323,331,337,341,341,337,337
1816,Vevelstad,Nordland - Nordlánnda,21,68,117,117,117,116,124,131,136,136,143,145,140,147,150,151,156,157,157,157
1818,Herøy (Nordland),Nordland - Nordlánnda,34,59,190,196,202,206,209,447,463,485,506,504,511,516,524,594,597,599,607,610
1820,Alstahaug,Nordland - Nordlánnda,136,193,272,265,279,285,310,344,345,348,350,352,358,357,359,354,355,348,348,347
1822,Leirfjord,Nordland - Nordlánnda,92,121,315,315,319,333,358,403,408,412,416,418,431,442,446,446,445,456,460,477
1824,Vefsn,Nordland - Nordlánnda,311,344,742,734,741,748,762,769,771,763,765,763,749,734,747,740,744,748,748,753
