"land_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
1,-0.05,-0.12,-0.14,-0.42,-0.04,0.18,0.2,0.01,0.09,-0.39,0.33,0.11,-0.49,0.07,-0.16,0.04,0.06,-0.04,-0.32,-0.35,-0.05,0.03,0.01,-0.15,-0.07,0.03,0.41,0.02,0.21,0.05,-0.06,0.16
-0.05,1,0.2,0.22,0.53,0.21,-0.24,-0.06,0.23,0.18,0.11,-0.11,0.18,0.43,0.37,0.2,-0.05,0.18,-0.07,0.24,0.37,0.1,0.07,0.02,0.31,-0.11,-0.4,-0.04,0.23,0.11,0.44,0.22,-0.03
-0.12,0.2,1,0.18,0.39,0.28,-0.28,-0.22,0.24,0.08,0.12,0,-0.12,0.18,-0.36,-0.1,0.22,-0.38,0.38,0.08,0.31,-0.1,-0.18,0.19,0.11,0.09,0.26,0.06,0.11,-0.09,-0.12,0.22,-0.1
-0.14,0.22,0.18,1,0.33,-0.01,-0.09,-0.09,0.04,0.01,0.12,-0.11,0.09,0.21,0.1,0.21,-0.13,0.1,-0.13,0.21,0.29,0.12,0.09,0.1,0.17,0.07,-0.12,-0.12,0.34,0.06,0.3,0.37,0.03
-0.42,0.53,0.39,0.33,1,0.32,-0.44,-0.3,0.26,0.15,0.35,-0.29,0.02,0.71,0.15,0.24,-0.05,0.03,-0.01,0.37,0.53,0.06,-0.01,0.06,0.31,0,-0.25,-0.21,0.2,-0.06,0.28,0.26,-0.15
-0.04,0.21,0.28,-0.01,0.32,1,-0.59,-0.37,0.5,0.4,0.09,-0.11,-0.05,0.27,-0.02,-0.05,0.11,-0.07,0.14,0,0.09,-0.16,-0.14,0.03,0,-0.02,-0.06,0.11,0.04,-0.22,-0.06,-0.04,-0.04
0.18,-0.24,-0.28,-0.09,-0.44,-0.59,1,0.53,-0.45,-0.3,-0.32,0.23,0.12,-0.42,-0.01,-0.06,-0.01,0.08,-0.06,-0.21,-0.3,0.05,0.08,0.01,-0.03,-0.06,0.06,0.01,-0.03,0.2,0.02,0,0.14
0.2,-0.06,-0.22,-0.09,-0.3,-0.37,0.53,1,-0.28,-0.19,-0.37,0.29,0.28,-0.32,0.08,-0.12,0.05,0.08,0,-0.13,-0.24,0.07,0.01,0.06,0.07,0.02,-0.05,0.05,0.06,0.25,0.16,0.15,0.08
0.01,0.23,0.24,0.04,0.26,0.5,-0.45,-0.28,1,0.61,-0.03,-0.09,0.03,0.26,-0.02,-0.11,0.22,-0.12,0.16,-0.04,0.26,-0.27,-0.1,-0.09,0.06,-0.01,-0.03,0.01,0.01,-0.23,-0.01,0.05,0
0.09,0.18,0.08,0.01,0.15,0.4,-0.3,-0.19,0.61,1,-0.25,-0.08,0.03,0.13,0.05,-0.08,0.16,-0.02,0.07,-0.2,0.06,-0.22,-0.03,-0.07,0,-0.05,-0.08,-0.04,-0.04,-0.23,-0.01,-0.02,0.05
-0.39,0.11,0.12,0.12,0.35,0.09,-0.32,-0.37,-0.03,-0.25,1,-0.28,-0.18,0.43,0.06,0.19,-0.09,-0.03,-0.06,0.5,0.32,0.05,-0.04,-0.1,0.09,-0.01,-0.08,-0.16,0.01,-0.1,0.02,-0.05,-0.22
0.33,-0.11,0,-0.11,-0.29,-0.11,0.23,0.29,-0.09,-0.08,-0.28,1,0.16,-0.38,-0.08,-0.2,0.13,-0.07,0.15,-0.17,-0.25,-0.02,-0.11,0.16,0.07,0.04,0.09,0.2,0.03,0.29,0,0.12,0.09
0.11,0.18,-0.12,0.09,0.02,-0.05,0.12,0.28,0.03,0.03,-0.18,0.16,1,0.07,0.27,0.08,-0.08,0.11,0.09,-0.04,-0.05,0.07,0.05,0.17,0.16,0.04,-0.28,-0.07,0.15,0.17,0.25,0.1,0.16
-0.49,0.43,0.18,0.21,0.71,0.27,-0.42,-0.32,0.26,0.13,0.43,-0.38,0.07,1,0.24,0.26,-0.07,0.04,-0.01,0.39,0.53,0.02,0.01,-0.02,0.24,-0.04,-0.32,-0.3,0.11,-0.17,0.23,0.12,-0.15
0.07,0.37,-0.36,0.1,0.15,-0.02,-0.01,0.08,-0.02,0.05,0.06,-0.08,0.27,0.24,1,0.39,-0.34,0.53,-0.44,0.16,0.04,0.21,0.2,-0.08,0.22,-0.22,-0.73,-0.07,0.18,0.15,0.57,0.04,0.03
-0.16,0.2,-0.1,0.21,0.24,-0.05,-0.06,-0.12,-0.11,-0.08,0.19,-0.2,0.08,0.26,0.39,1,-0.6,0.29,-0.34,0.26,0.13,0.37,0.26,0.13,0.21,-0.01,-0.45,-0.13,0.13,0.09,0.35,0.13,-0.04
0.04,-0.05,0.22,-0.13,-0.05,0.11,-0.01,0.05,0.22,0.16,-0.09,0.13,-0.08,-0.07,-0.34,-0.6,1,-0.34,0.37,-0.12,0.04,-0.47,-0.39,-0.22,-0.09,-0.07,0.31,0.06,-0.13,-0.1,-0.31,-0.09,-0.07
0.06,0.18,-0.38,0.1,0.03,-0.07,0.08,0.08,-0.12,-0.02,-0.03,-0.07,0.11,0.04,0.53,0.29,-0.34,1,-0.62,0.02,-0.05,0.28,0.29,-0.06,0.08,-0.11,-0.45,-0.02,0.07,0.12,0.42,0.05,0.1
-0.04,-0.07,0.38,-0.13,-0.01,0.14,-0.06,0,0.16,0.07,-0.06,0.15,0.09,-0.01,-0.44,-0.34,0.37,-0.62,1,-0.12,0.03,-0.25,-0.25,0.2,0,0.08,0.33,0.06,0,-0.11,-0.34,-0.02,-0.03
-0.32,0.24,0.08,0.21,0.37,0,-0.21,-0.13,-0.04,-0.2,0.5,-0.17,-0.04,0.39,0.16,0.26,-0.12,0.02,-0.12,1,0.31,0,-0.08,-0.15,0.17,0.02,-0.19,-0.18,0.08,0.08,0.18,0.13,-0.27
