"land_area","holiday_homes_1970","hh_dwelling_ratio","median_hh_price","prop_hh_area","prop_wetlands","prop_montainous","altitudinal_range","dist_to_coast","veg_sections","veg_zones","prop_protected","grazing_livestock","infrastructure_index","population","population_change","median_age","urban_settlement_ratio","prop_farm_residents","pop_2hr_drive","pop_4hr_drive","median_income","education","employment_rate","prop_private_sector","municipal_economy","unrestricted_revenues","off_road_motor","ski_lifts","hiker_cabins","activity_data","activity_pr_person","culture_index"
1,0.06,0.27,-0.12,-0.45,0.17,0.22,0.49,0.36,0.1,-0.43,0.35,0.26,-0.58,-0.14,-0.28,0.2,-0.18,0.27,-0.31,-0.17,-0.14,-0.08,0.08,-0.18,0,0.24,0.56,0.23,0.3,-0.1,0.01,0.19
0.06,1,0.03,0.3,0.37,-0.04,-0.2,-0.02,0.2,0.13,0.13,0,0.1,0.26,0.4,0.27,-0.12,0.23,-0.1,0.34,0.37,0.16,0.29,0.01,0.09,-0.11,-0.36,0,0.2,0.24,0.49,0.34,0.04
0.27,0.03,1,0.08,-0.02,0.19,0.13,0.26,0.27,0.08,-0.3,0.21,0.11,-0.33,-0.52,-0.4,0.4,-0.51,0.51,-0.2,0.01,-0.24,-0.27,0.11,-0.09,0.09,0.45,0.27,0.16,0.06,-0.37,0.06,0
-0.12,0.3,0.08,1,0.38,-0.16,-0.07,-0.08,0,0.06,0.09,0.01,0.07,0.23,0.16,0.17,-0.08,0.11,-0.06,0.23,0.28,0.12,0.18,0.08,0.15,0.03,-0.16,-0.17,0.15,0.14,0.28,0.33,0.04
-0.45,0.37,-0.02,0.38,1,-0.04,-0.26,-0.35,-0.14,0.04,0.35,-0.24,-0.07,0.62,0.27,0.33,-0.18,0.18,-0.21,0.37,0.32,0.16,0.18,-0.04,0.23,-0.01,-0.32,-0.36,-0.04,-0.07,0.32,0.22,-0.11
0.17,-0.04,0.19,-0.16,-0.04,1,-0.17,0.06,0.2,0.12,-0.16,0.02,0.14,-0.1,-0.11,-0.11,0.05,-0.21,0.21,-0.18,-0.14,-0.13,-0.18,0.06,-0.07,0.01,0.09,0.22,0.01,-0.1,-0.15,-0.12,0.04
0.22,-0.2,0.13,-0.07,-0.26,-0.17,1,0.43,-0.22,-0.24,-0.41,0.24,0.2,-0.43,-0.22,-0.29,0.16,-0.08,0.05,-0.44,-0.4,-0.05,-0.06,0.07,-0.04,0.02,0.31,0.21,0.08,0.07,-0.17,0.02,0.17
0.49,-0.02,0.26,-0.08,-0.35,0.06,0.43,1,0.22,-0.09,-0.51,0.32,0.36,-0.55,-0.23,-0.34,0.22,-0.2,0.31,-0.33,-0.21,-0.09,-0.1,0.18,-0.1,-0.01,0.27,0.45,0.33,0.27,-0.12,0.17,0.17
0.36,0.2,0.27,0,-0.14,0.2,-0.22,0.22,1,0.4,-0.17,0.2,0.06,-0.18,-0.11,-0.12,0.18,-0.17,0.32,0.07,0.29,-0.18,-0.07,0.03,-0.13,-0.08,0.04,0.27,0.25,0.24,-0.04,0.15,0.02
0.1,0.13,0.08,0.06,0.04,0.12,-0.24,-0.09,0.4,1,-0.19,0.12,-0.17,0.05,0,-0.03,0.18,-0.02,0.04,0.05,0.18,-0.15,0.03,-0.12,-0.07,-0.04,-0.04,0.02,0.05,0.1,0.03,0.05,0.01
